Handle,Title,Body (HTML),Do not UPLOAD,Plating,Tags,Stone,Size,Variant Price,Category,Vendor
N-E1134925 Sterling Silver,N-E1134,925 Sterling Silver 5mm Opal                           Flat Chain: 40+5cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,5mm Opal                           Flat Chain: 40+5cm,39,Earrings,Gemnel
E-S2709925 Sterling Silver,E-S2709,925 Sterling Silver 12mm*15mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,12mm*15mm,39,Earrings,Gemnel
E-D3056925 Sterling Silver,E-D3056,925 Sterling Silver Opal:3mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal              freshwater pearl,Opal:3mm,32,Earrings,Gemnel
E-S4080925 Sterling Silver,E-S4080,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,/,26,Ring,Gemnel
B-R3004925 Sterling Silver,B-R3004,925 Sterling Silver Length: 16cm+4cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,Length: 16cm+4cm,36,Bracelet,Gemnel
R-F3125925 Sterling Silver,R-F3125,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,/,26,Ring,Gemnel
N-E4067925 Sterling Silver,N-E4067,925 Sterling Silver Chain: 40+5cm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                 zircon,Chain: 40+5cm ,39,Necklace,Gemnel
R-F3222925 Sterling Silver,R-F3222,925 Sterling Silver Opal:2mm                   size5/6/7                               15pcs for each size platinum                 1 micron                  ,925 Sterling Silver,platinum                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                 ,Opal:2mm                   size5/6/7                               15pcs for each size,26,Ring,Gemnel
R-F1315925 Sterling Silver,R-F1315,925 Sterling Silver Band 1.2mm                      size5/6/7                               15pcs for each size 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal             zircon,Band 1.2mm                      size5/6/7                               15pcs for each size,29,Ring,Gemnel
N-E4188925 Sterling Silver,N-E4188,925 Sterling Silver 12 x 6mm opal                      Chain: 40+5cm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,12 x 6mm opal                      Chain: 40+5cm ,39,Necklace,Gemnel
N-E4187925 Sterling Silver,N-E4187,925 Sterling Silver Opal 2.5mm / Zircon 1.5 mm                                    Chain: 40+5cm  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                 zircon,Opal 2.5mm / Zircon 1.5 mm                                    Chain: 40+5cm ,36,Necklace,Gemnel
R-F5131925 Sterling Silver,R-F5131,925 Sterling Silver SIZE 6  14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,SIZE 6 ,38,Ring,Gemnel
E-H3168925 Sterling Silver,E-H3168,925 Sterling Silver Dia: 43mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal,Dia: 43mm,42,Ring,Gemnel
N-E1175925 Sterling Silver,N-E1175,925 Sterling Silver Chain: 40+5cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,Chain: 40+5cm,38,Necklace,Gemnel
"N-E2240925 Sterling Silver","N-E2240","925 Sterling Silver  6mm charm                   Length:40cm+5cm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon," 6mm charm                   Length:40cm+5cm",39,Necklace,Gemnel
"N-E2240925 Sterling Silver","N-E2240","925 Sterling Silver  6mm charm                   Length:40cm+5cm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon," 6mm charm                   Length:40cm+5cm",42,Earrings,Gemnel
R-F3045925 Sterling Silver,R-F3045,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",Zircon                      (#32 sapphire blue)     (#21 white)                (#16 D-Peridot)         (#3 Rose) ,/,24,Ring,Gemnel
R-F11166925 Sterling Silver,R-F11166,925 Sterling Silver Thickness 2.5mm                   size5/6/7                               15pcs for each size 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,Thickness 2.5mm                   size5/6/7                               15pcs for each size,26,Ring,Gemnel
N-E1148925 Sterling Silver,N-E1148,"925 Sterling Silver  Dogtag: 15*20mm                Chain Length: 40+5 cm 14k gold                 1 micron                  ",925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/," Dogtag: 15*20mm                Chain Length: 40+5 cm",42,Necklace,Gemnel
E-S3275925 Sterling Silver,E-S3275,925 Sterling Silver Length:13mm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,Length:13mm,28,Earrings,Gemnel
R-F0136925 Sterling Silver,R-F0136,925 Sterling Silver size5/6/7                               15pcs for each size 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",opal                    zircon,size5/6/7                               15pcs for each size,24,Ring,Gemnel
N-E5284925 Sterling Silver,N-E5284,925 Sterling Silver Charm 1.4 x 1.1 cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",Malachite,Charm 1.4 x 1.1 cm,45,,Gemnel
N-E5283925 Sterling Silver,N-E5283,925 Sterling Silver Charm 1.4 x 1.1 cm 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",Mother of Pearl,Charm 1.4 x 1.1 cm,45,,Gemnel
R-F1271925 Sterling Silver,R-F1271,925 Sterling Silver size5/6/7                               20pcs for each size 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,size5/6/7                               20pcs for each size,28,Ring,Gemnel
N-E5144925 Sterling Silver,N-E5144,925 Sterling Silver 1 1/8in total drop            Charm 3/4in by 1/2in 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,1 1/8in total drop            Charm 3/4in by 1/2in,42,,Gemnel
E-S5283925 Sterling Silver,E-S5283,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",White Zircon,/,22,Earrings,Gemnel
E-S5277925 Sterling Silver,E-S5277,925 Sterling Silver / 14k gold                 1 micron                  ,925 Sterling Silver,14k gold                 1 micron                  ,"925 Sterling Silver, Nov3Upload",/,/,20,Ring,Gemnel
E-S5194925 Sterling Silver,E-S5194,925 Sterling Silver Stone part:16mm Length:16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",White Zircon,Stone part:16mm Length:16cm+4cm,34,Earrings,Gemnel
"E-H1069-2925 Sterling Silver","E-H1069-2",925 Sterling Silver Inner Dia:8mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Turquoise,Inner Dia:8mm,29,Earrings,Gemnel
E-H1071925 Sterling Silver,E-H1071,925 Sterling Silver Baguette 2*4mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Zircon (#5 Ruby),Baguette 2*4mm,22,Earrings,Gemnel
E-H1357925 Sterling Silver,E-H1357,925 Sterling Silver Baguette 2*4mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",Turquoise,Baguette 2*4mm,22,Earrings,Gemnel
E-S5233925 Sterling Silver,E-S5233,925 Sterling Silver Length: 40cm+5cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Length: 40cm+5cm,39,Earrings,Gemnel
N-E3077925 Sterling Silver,N-E3077,925 Sterling Silver / 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,/,29,Necklace,Gemnel
N-E3077925 Sterling Silver,N-E3077,925 Sterling Silver Pendant diameter: 12 mm Length: 16cm+4cm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Pendant diameter: 12 mm Length: 16cm+4cm,29,Necklace,Gemnel
N-E3206925 Sterling Silver,N-E3206,925 Sterling Silver Size:8*13mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",/,Size:8*13mm,35,Earrings,Gemnel
E-H1062925 Sterling Silver,E-H1062,"925 Sterling Silver Diameter 13mm and Starburst 11.5mm 14k gold 1 micron",925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,"Diameter 13mm and Starburst 11.5mm",36,Earrings,Gemnel
E-H1135925 Sterling Silver,E-H1135,925 Sterling Silver Starburst 11.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,Starburst 11.5mm,32,Earrings,Gemnel
E-S5232925 Sterling Silver,E-S5232,925 Sterling Silver 7mm x 6mm Curved top 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,7mm x 6mm Curved top,28,Earrings,Gemnel
E-S11060925 Sterling Silver,E-S11060,925 Sterling Silver eye 4.25 x 6.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,eye 4.25 x 6.5mm,32,Earrings,Gemnel
R-F0135925 Sterling Silver,R-F0135,925 Sterling Silver size5/6/7 15pcs for each size 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal,size5/6/7 15pcs for each size,28,Ring,Gemnel
R-F1102925 Sterling Silver,R-F1102,925 Sterling Silver 4mm Opal size5/6/7 15pcs for each size 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,4mm Opal size5/6/7 15pcs for each size,29,Ring,Gemnel
E-ST1030925 Sterling Silver,E-ST1030,925 Sterling Silver 7.5mm 14k gold 1 micron,925 Sterling Silver,14k gold 1 micron,"925 Sterling Silver, Nov3Upload",opal zircon,7.5mm,45,Earrings,Gemnel
